No.,Fecha inicial corte,Fecha final corte,Departamento,Municipio,Comunidad (Si aplica),Clasificación,Tema,Subtema,Tipo de dato (medida),No. De personas/porcentaje/eventos,No. De mujeres mayores de edad,No. De hombres mayores de edad,No. De mujeres menores de edad,No. De hombres menores de edad,Madres gestantes,Grupo étnico,Si es indígena indique pueblo,Texto descriptivo,Link información,Link Registro fotográfico,Observación
1,2020-03-02,2021-08-29,AMAZONAS,EL ENCANTO (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,11.0,3,7,1,0,No indica,No indica,No indica,En el municipio de EL ENCANTO (CD) se tiene un total de Contagio 11,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
2,2020-03-02,2021-08-29,AMAZONAS,LA CHORRERA (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,30.0,5,23,0,2,No indica,No indica,No indica,En el municipio de LA CHORRERA (CD) se tiene un total de Contagio 30,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
3,2020-03-02,2021-08-29,AMAZONAS,LA PEDRERA (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,103.0,47,40,9,7,No indica,No indica,No indica,En el municipio de LA PEDRERA (CD) se tiene un total de Contagio 103,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
4,2020-03-02,2021-08-29,AMAZONAS,LA VICTORIA (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,1.0,0,1,0,0,No indica,No indica,No indica,En el municipio de LA VICTORIA (CD) se tiene un total de Contagio 1,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
5,2020-03-02,2021-08-29,AMAZONAS,LETICIA,No indica,Análisis situacional,COVID 19,Contagio,Número,6370.0,2577,3062,335,396,No indica,No indica,No indica,En el municipio de LETICIA se tiene un total de Contagio 6370,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
6,2020-03-02,2021-08-29,AMAZONAS,MIRITI PARANA (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,11.0,4,7,0,0,No indica,No indica,No indica,En el municipio de MIRITI PARANA (CD) se tiene un total de Contagio 11,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
7,2020-03-02,2021-08-29,AMAZONAS,PUERTO ALEGRIA (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,1.0,0,1,0,0,No indica,No indica,No indica,En el municipio de PUERTO ALEGRIA (CD) se tiene un total de Contagio 1,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
8,2020-03-02,2021-08-29,AMAZONAS,PUERTO ARICA (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,3.0,2,1,0,0,No indica,No indica,No indica,En el municipio de PUERTO ARICA (CD) se tiene un total de Contagio 3,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
9,2020-03-02,2021-08-29,AMAZONAS,PUERTO NARIÑO,No indica,Análisis situacional,COVID 19,Contagio,Número,178.0,57,103,10,8,No indica,No indica,No indica,En el municipio de PUERTO NARIÑO se tiene un total de Contagio 178,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
10,2020-03-02,2021-08-29,AMAZONAS,PUERTO SANTANDER (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,7.0,4,1,1,1,No indica,No indica,No indica,En el municipio de PUERTO SANTANDER (CD) se tiene un total de Contagio 7,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
11,2020-03-02,2021-08-29,AMAZONAS,TARAPACA (CD),No indica,Análisis situacional,COVID 19,Contagio,Número,72.0,39,22,7,4,No indica,No indica,No indica,En el municipio de TARAPACA (CD) se tiene un total de Contagio 72,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
12,2020-03-02,2021-08-29,ANTIOQUIA,ABEJORRAL,No indica,Análisis situacional,COVID 19,Contagio,Número,522.0,280,217,14,11,No indica,No indica,No indica,En el municipio de ABEJORRAL se tiene un total de Contagio 522,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
13,2020-03-02,2021-08-29,ANTIOQUIA,ABRIAQUI,No indica,Análisis situacional,COVID 19,Contagio,Número,72.0,26,44,1,1,No indica,No indica,No indica,En el municipio de ABRIAQUI se tiene un total de Contagio 72,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
14,2020-03-02,2021-08-29,ANTIOQUIA,ALEJANDRIA,No indica,Análisis situacional,COVID 19,Contagio,Número,158.0,89,62,0,7,No indica,No indica,No indica,En el municipio de ALEJANDRIA se tiene un total de Contagio 158,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
15,2020-03-02,2021-08-29,ANTIOQUIA,AMAGA,No indica,Análisis situacional,COVID 19,Contagio,Número,1264.0,547,669,25,23,No indica,No indica,No indica,En el municipio de AMAGA se tiene un total de Contagio 1264,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
16,2020-03-02,2021-08-29,ANTIOQUIA,AMALFI,No indica,Análisis situacional,COVID 19,Contagio,Número,752.0,383,324,26,19,No indica,No indica,No indica,En el municipio de AMALFI se tiene un total de Contagio 752,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
17,2020-03-02,2021-08-29,ANTIOQUIA,ANDES,No indica,Análisis situacional,COVID 19,Contagio,Número,1174.0,566,572,23,13,No indica,No indica,No indica,En el municipio de ANDES se tiene un total de Contagio 1174,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
18,2020-03-02,2021-08-29,ANTIOQUIA,ANGELOPOLIS,No indica,Análisis situacional,COVID 19,Contagio,Número,110.0,57,48,2,3,No indica,No indica,No indica,En el municipio de ANGELOPOLIS se tiene un total de Contagio 110,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
19,2020-03-02,2021-08-29,ANTIOQUIA,ANGOSTURA,No indica,Análisis situacional,COVID 19,Contagio,Número,161.0,63,80,10,8,No indica,No indica,No indica,En el municipio de ANGOSTURA se tiene un total de Contagio 161,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
